id,name,ms_id,distance,time_minute,ton_price,created_at,updated_at,km_fact,найдено,locality,region,type,population,coords,source,sourceID,route
1,Севастополь 90 км,0682099a-7e1a-11ea-0a80-020e00019606,90,108,,2024-03-04 20:22:46,2024-03-04 20:22:46,90,нет,Севастополь,,,,"44.61665,33.525367",geocode,,58.46
2,Севастополь 100км,12142d9a-b8fa-11ed-0a80-0138002c4adb,100,120,,2024-03-04 20:22:46,2024-03-04 20:22:46,100,нет,Севастополь,,,,"44.61665,33.525367",geocode,,58.46
3,"Севастополь, Балаклава 101 км",199b67d6-fd00-11ec-0a80-04fc000657da,101,122,,2024-03-04 20:22:46,2024-03-04 20:22:46,101,нет,Севастополь,Балаклава,,,"44.5738307,33.6766147",geocode,,53.4
4,000 Самовывоз,28803b00-5c8f-11ea-0a80-02ed000b1ce1,0,0,,2024-03-04 20:22:46,2024-03-04 20:22:46,0,нет,Самовывоз,,,,,,,
5,Орловка Севастополь,34ffa079-b7b8-11ea-0a80-03ec000bb4b1,54,70,,2024-03-04 20:22:46,2024-03-04 20:22:46,79,нет,Орловка,Севастополь,,,"44.729252,33.581371",yandex,155341,47.61
6,Курцы 7 км от Симферополя,3505c60a-e2db-11ea-0a80-03de0009f892,7,9,,2024-03-04 20:22:46,2024-03-04 20:22:46,41,нет,Курцы,От симферополя,,,"44.8862274,34.1399572",geocode,,7.57
7,"Марьино, Симферополь 25,8 км",400c7915-e8fb-11ea-0a80-09e00003d901,28,34,,2024-03-04 20:22:46,2024-03-04 20:22:46,28,нет,Марьино,Симферополь,,,"44.952117,34.102417",geocode,,0.46
8,Солнечный поселок 75 (Нахимовский район),4463ec5d-0444-11ee-0a80-14280008b749,75,67,,2024-03-04 20:22:46,2024-03-04 20:22:46,82,нет,Солнечный,Поселок нахимовский,,,"44.7788262,33.6230682",geocode,,42.06
9,"Семеновка 182 км , Ленинский р-н",4755a375-a8fe-11ec-0a80-01c4002d52b1,182,219,,2024-03-04 20:22:46,2024-10-24 13:27:01,168,нет,Семеновка,Ленинский,,,"54.3018249,37.5753346",dadata,,1069.28
10,Севастополь СТ Технолог участок 189а,569ec414-2a9f-11eb-0a80-03240008fefe,80,78,,2024-03-04 20:22:46,2024-03-04 20:22:46,97,нет,Севастополь,Ст технолог участок а,,,"44.61665,33.525367",geocode,,58.46
11,"с.Вишневое, Севастополь, 62 км",5894b968-898b-11ec-0a80-01880008db2c,62,75,,2024-03-04 20:22:47,2024-03-04 20:22:47,77,нет,Вишневое,Севастополь,,,"44.61665,33.525367",geocode,,58.46
12,"Веселое,г. Судак 126 км",6440b785-b6ad-11ea-0a80-052e001db8ec,126,116,,2024-03-04 20:22:47,2024-03-04 20:22:47,128,нет,Веселое,Судак,,,"44.850467,34.976183",geocode,,69.83
13,Ак-Мечеть,6c31e66c-77d1-11ea-0a80-060a00137839,39,45,,2024-03-04 20:22:47,2024-03-04 20:22:47,39,нет,Ак-мечеть,,,,"44.842545,65.502563",yandex,21050,2457.63
14,Каменка Симферополь,6e112e2d-b60c-11ea-0a80-093f0017adbc,27,26,,2024-03-04 20:22:47,2024-03-04 20:22:47,29,нет,Каменка,Симферополь,,,"44.952117,34.102417",geocode,,0.46
15,Ай-Даниль 3 км от Ялты,6e38ee02-e5da-11ea-0a80-0140002c1f36,3,132,,2024-03-04 20:22:47,2024-03-04 20:22:47,107,нет,Ай-даниль,От ялты,,,"44.5166812,34.2623306",geocode,,49.66
16,Терновка 67 км . Севастополь,8472c9e7-f68b-11eb-0a80-081c00065bfc,67,72,,2024-03-04 20:22:47,2024-03-04 20:22:47,83,нет,Терновка,Севастополь,,,"44.61665,33.525367",geocode,,58.46
17,"с.Краснодарка, Красногвардейский р-н",8d6ac6f6-6904-11ea-0a80-012a00068363,80,68,,2024-03-04 20:22:47,2024-03-04 20:22:47,80,да,Краснодарка,Красногвардейский,село,422,"45.6071164,34.0867428",geocode,,73.26
18,г.Краснодар 460 км,9766f1e8-6cd3-11ea-0a80-0366001baf08,460,552,,2024-03-04 20:22:47,2024-03-04 20:22:47,520,нет,Краснодар,,,,"45.036035,38.9745706",geocode,,383.31
19,Мирное,9bcde9e1-2b0f-11eb-0a80-037d000053a2,0,0,,2024-03-04 20:22:47,2024-03-04 20:22:47,24,нет,Мирное,,,,"47.432323,37.729591",yandex,27948,392.73
20,Молодежное 20,a1047540-f4c6-11ea-0a80-00fe0011ab07,20,24,,2024-03-04 20:22:47,2024-03-04 20:22:47,20,нет,Молодежное,,,,"45.005717, 34.053992",dadata,,7.36
21,Абрикосовка 107 км Кировский,a659acf2-5c8e-11ea-0a80-052c001d8968,107,129,,2024-03-04 20:22:47,2024-03-04 20:22:47,107,да,Абрикосовка,Кировский,село,1079,"45.108952,35.101337",yandex,132129,80.66
22,Абрикосовка 81 км Сакский,a659aee3-5c8e-11ea-0a80-052c001d8969,81,98,,2024-03-04 20:22:47,2024-03-04 20:22:47,81,да,Абрикосовка,Сакский,село,506,"45.2686683,33.1885004",geocode,,79.93
23,Абрикосово 94 км Первомайский,a659b042-5c8e-11ea-0a80-052c001d896a,94,113,,2024-03-04 20:22:47,2024-03-04 20:22:47,94,да,Абрикосово,Первомайский,село,761,"45.693596,34.101891",yandex,177005,82.87
24,Аврора 127 км Раздольненский,a659b1f2-5c8e-11ea-0a80-052c001d896b,127,153,,2024-03-04 20:22:47,2024-03-04 20:22:47,113,да,Аврора,Раздольненский,село,275,"45.7524341,33.267284",geocode,,110.59
25,Аграрное 27 км Симферополь,a659b33c-5c8e-11ea-0a80-052c001d896c,27,33,,2024-03-04 20:22:47,2024-03-04 20:22:47,18,да,Аграрное,Симферополь,пгт,3754,"45.0155472,34.0525607",geocode,,8.37
26,Азов 42 км Красногвардейский,a659b481-5c8e-11ea-0a80-052c001d896d,42,51,,2024-03-04 20:22:48,2024-03-04 20:22:48,43,да,Азов,Красногвардейский,село,94,"47.0947446,39.4136552",geocode,,474.42
27,Азовское 78 км Джанкойский,a659b5c2-5c8e-11ea-0a80-052c001d896e,78,94,,2024-03-04 20:22:48,2024-03-04 20:22:48,111,да,Азовское,Джанкойский,пгт,3459,"45.585464,34.567081",yandex,28838,79.71
28,Азовское 195 км Ленинский,a659b718-5c8e-11ea-0a80-052c001d896f,195,234,,2024-03-04 20:22:48,2024-03-04 20:22:48,193,да,Азовское,Ленинский,село,41,"45.4022978,35.8805125",geocode,,148.37
29,Айвазовское 106 км Кировский,a659b87c-5c8e-11ea-0a80-052c001d8970,106,128,,2024-03-04 20:22:48,2024-03-04 20:22:48,106,да,Айвазовское,Кировский,село,176,"45.1109918,35.073053",geocode,,78.54
30,Айвовое 74 км Бахчисарайский,a659b9fd-5c8e-11ea-0a80-052c001d8971,74,89,,2024-03-04 20:22:48,2024-03-04 20:22:48,74,да,Айвовое,Бахчисарайский,село,482,"44.7389804,33.6449935",geocode,,42.77
31,Айкаван 29 км Симферопольский,a659bc95-5c8e-11ea-0a80-052c001d8972,29,35,,2024-03-04 20:22:48,2024-03-04 20:22:48,30,да,Айкаван,Симферопольский,посёлок,692,"45.0021275,34.1542999",geocode,,7.34
32,Акимовка 105 км Нижнегорский,a659bdf7-5c8e-11ea-0a80-052c001d8973,105,126,,2024-03-04 20:22:48,2024-03-04 20:22:48,96,да,Акимовка,Нижнегорский,село,1312,"45.509975,34.816345",yandex,176943,83.93
33,Акрополис 28 км Симферопольский,a659bf4d-5c8e-11ea-0a80-052c001d8974,28,34,,2024-03-04 20:22:48,2024-03-04 20:22:48,28,да,Акрополис,Симферопольский,село,465,"44.9996374,34.1693864",geocode,,7.88
34,Александровка 39 км Симферопольский,a659c091-5c8e-11ea-0a80-052c001d8975,39,47,,2024-03-04 20:22:48,2024-03-04 20:22:48,39,да,Александровка,Симферопольский,село,52,"45.0069467,33.7481518",geocode,,28.46
35,Александровка 66 км Белогорский,a659c320-5c8e-11ea-0a80-052c001d8976,66,80,,2024-03-04 20:22:48,2024-03-04 20:22:48,65,да,Александровка,Белогорский,село,595,"45.0252521,34.52794",geocode,,34.7
36,Александровка 69 км Красногвардейск,a659c6bd-5c8e-11ea-0a80-052c001d8977,69,83,,2024-03-04 20:22:48,2024-03-04 20:22:48,81,да,Александровка,Красногвардейский,село,1301,"45.576847,34.098457",yandex,176626,69.89
37,Алексеевка 75 км Белогорский,a659c88c-5c8e-11ea-0a80-052c001d8978,75,90,,2024-03-04 20:22:48,2024-03-04 20:22:48,73,да,Алексеевка,Белогорский,село,264,"44.9548281,34.663314",geocode,,44.3
